Time,X,Y,Z
3870,8.59483,-4.90479,-6.78764
3880,8.58524,-4.85183,-6.83765
3890,8.57638,-4.80274,-6.88327
3900,8.56832,-4.75778,-6.92441
3910,8.56112,-4.71721,-6.96097
3920,8.55486,-4.68128,-6.99286
3930,8.54957,-4.65027,-7.01997
3940,8.5453,-4.62442,-7.0422
3950,8.5421,-4.604,-7.05945
3960,8.53997,-4.58927,-7.07159
3970,8.53895,-4.58047,-7.07854
3980,8.53902,-4.57786,-7.08014
3990,8.54016,-4.58169,-7.07629
4000,8.54234,-4.5922,-7.06684
4010,8.5471,-4.61005,-7.04943
4020,8.55586,-4.63551,-7.02206
4030,8.5683,-4.66829,-6.98508
4040,8.5841,-4.70807,-6.93883
4050,8.60289,-4.75454,-6.88365
4060,8.62428,-4.80738,-6.81988
4070,8.64788,-4.86629,-6.74784
4080,8.67327,-4.93094,-6.66786
4090,8.70002,-5.001,-6.58025
4100,8.72771,-5.07615,-6.48535
4110,8.75592,-5.15605,-6.38349
4120,8.78422,-5.24038,-6.27502
4130,8.81221,-5.32878,-6.16029
4140,8.83947,-5.42091,-6.03966
4150,8.86564,-5.51643,-5.9135
4160,8.89034,-5.61498,-5.7822
4170,8.91324,-5.71621,-5.64616
4180,8.93402,-5.81976,-5.50579
4190,8.95238,-5.92528,-5.36152
4200,8.96808,-6.03241,-5.21379
4210,8.98088,-6.1408,-5.06304
4220,8.9906,-6.25008,-4.90974
4230,8.99708,-6.35992,-4.75436
4240,9.0002,-6.46996,-4.59739
4250,8.99988,-6.57987,-4.43932
4260,8.99607,-6.6893,-4.28064
4270,8.98878,-6.79794,-4.12186
4280,8.97804,-6.90546,-3.9635
4290,8.96392,-7.01156,-3.80606
4300,8.94654,-7.11593,-3.65006
4310,8.92603,-7.2183,-3.496
4320,8.90259,-7.31839,-3.34441
4330,8.87643,-7.41592,-3.1958
4340,8.84779,-7.51066,-3.05065
4350,8.81697,-7.60237,-2.90949
4360,8.78425,-7.69081,-2.7728
4370,8.74997,-7.77579,-2.64107
4380,8.71447,-7.85709,-2.51478
4390,8.67813,-7.93453,-2.39441
4400,8.64133,-8.00793,-2.28043
4410,8.60447,-8.07713,-2.17328
4420,8.56794,-8.14195,-2.07343
4430,8.53214,-8.20225,-1.98133
4440,8.49749,-8.25788,-1.8974
4450,8.46438,-8.30869,-1.8221
4460,8.4332,-8.35453,-1.75585
4470,8.40433,-8.39526,-1.69908
4480,8.37812,-8.43074,-1.65223
4490,8.3549,-8.4608,-1.61572
4500,8.33498,-8.48528,-1.58998
4510,8.3175,-8.50501,-1.57605
4520,8.30143,-8.52103,-1.57425
4530,8.28677,-8.53348,-1.58404
4540,8.27345,-8.54251,-1.60486
4550,8.2614,-8.54824,-1.63615
4560,8.25048,-8.55079,-1.67736
4570,8.24055,-8.55029,-1.72794
4580,8.23145,-8.54684,-1.78735
4590,8.223,-8.54056,-1.85504
4600,8.215,-8.53154,-1.93046
4610,8.20726,-8.51988,-2.01307
4620,8.1996,-8.50569,-2.10232
4630,8.19182,-8.48907,-2.19765
4640,8.18375,-8.47013,-2.29852
4650,8.17523,-8.44895,-2.40437
4660,8.1661,-8.42564,-2.51464
4670,8.15623,-8.40032,-2.62879
4680,8.14552,-8.37309,-2.74625
4690,8.13388,-8.34406,-2.86647
4700,8.12126,-8.31335,-2.98888
