Time,Distance
5170,2.72465
5180,2.69565
5190,1.84938
5200,2.45498
5210,2.74954
5220,2.8483
5230,3.3671
5240,3.68476
5250,4.00605
5260,4.32984
5270,4.65529
5280,4.98174
5290,6.53552
5300,6.85949
5310,7.18243
5320,7.50414
5330,7.82442
5340,6.93764
5350,7.26048
5360,1.35091
5370,2.30437
5380,1.97119
5390,1.63794
5400,0
5410,1.59628
5420,1.88809
5430,1.65015
5440,1.76878
5450,1.92181
5460,2.10161
5470,2.30178
5480,2.51732
5490,3.89147
5500,4.13899
5510,4.3891
5520,4.64112
5530,3.83486
5540,4.12575
5550,4.41576
5560,4.70478
5570,4.99278
5580,6.48383
5590,6.762
5600,7.03871
5610,7.31388
5620,7.58746
5630,7.85938
5640,8.12958
5650,8.39801
5660,8.6646
5670,8.9293
5680,9.19204
5690,0.296809
5700,0
5710,0
5720,0
5730,0
5740,0
5750,3.30305
5760,3.30305
5770,3.30305
5780,3.76606
5790,1.19556
5800,1.93335
5810,1.93335
5820,1.93335
5830,1.93335
5840,1.93335
5850,3.13263
5860,3.13263
5870,3.13263
5880,3.13263
5890,3.13263
5900,1.56968
5910,1.56967
5920,1.56967
5930,1.56967
5940,1.56967
5950,1.56967
5960,1.56967
5970,1.56967
5980,1.56967
5990,1.56967
6000,0
6010,0.23927
6020,0.478488
6030,0.717637
6040,0.956679
6050,1.93336
6060,1.43426
6070,1.67273
6080,1.91093
6090,2.14884
6100,1.19557
6110,4.50305
6120,4.27023
6130,1.91094
6140,3.80258
6150,1.19557
6160,1.43426
6170,1.67274
6180,1.91094
6190,2.93238
6200,1.19557
6210,0.95668
6220,0.717644
6230,0.478491
6240,1.58585
6250,1.56967
6260,1.58585
6270,1.63339
6280,1.63338
6290,0.239269
6300,0
6310,0.17497
6320,0.349926
6330,0.717348
6340,0.573923
6350,0.451838
6360,0.372743
6370,0.365704
6380,1.16352
6390,1.03585
6400,2.04095
6410,6.21298
6420,6.05191
6430,6.30065
6440,6.16205
6450,6.02375
6460,9.01786
6470,9.15699
6480,9.29712
6490,9.43816
6500,9.58004
6510,9.72267
6520,9.22076
6530,9.37566
6540,9.53069
6550,9.68578
6560,9.37364
6570,9.53413
6580,9.69421
6590,0.174968
6600,0
6610,0.174968
6620,1.63867
6630,1.80696
6640,7.96161
6650,7.79705
6660,7.63192
6670,8.18248
6680,8.0278
6690,6.16293
6700,7.21445
6710,7.05034
6720,6.88631
6730,6.72241
6740,6.5587
6750,6.39525
6760,3.61493
6770,3.63601
6780,3.26863
6790,3.09526
6800,2.92177
6810,2.74822
6820,2.57463
6830,2.40106
6840,2.22758
6850,2.05425
6860,1.8812
6870,0.524849
6880,0.349926
6890,0.17497
6900,0
6910,0.239269
6920,1.70965
6930,0.71764
6940,0.956678
6950,1.93335
6960,1.81096
6970,2.39135
6980,2.22659
6990,2.073
7000,2.94626
7010,0.239264
7020,0.717639
7030,0.47849
7040,2.07301
7050,1.93336
7060,1.81097
7070,1.70965
7080,8.40909
7090,10.9278
7100,11.0835
7110,8.99516
7120,8.53744
7130,8.75062
7140,8.96243
7150,8.801
7160,1.81097
7170,1.70965
7180,1.70965
7190,1.58585
7200,0
7210,0.279143
7220,0.558217
7230,8.43033
7240,1.57189
7250,7.92618
7260,7.67153
7270,7.41523
7280,7.15733
7290,7.37587
7300,5.5033
7310,6.84267
7320,6.5748
7330,6.30625
7340,6.03719
7350,5.7678
7360,5.49826
7370,5.22882
7380,3.81928
7390,4.69131
7400,4.42392
7410,3.05188
7420,3.89419
7430,3.63311
7440,3.37566
7450,3.123
7460,2.87662
7470,2.63856
7480,2.41147
7490,0.279143
7500,0
7510,8.92566
7520,8.67689
7530,8.42658
7540,8.17484
7550,7.92176
7560,7.66742
7570,7.41196
7580,6.8436
7590,6.59163
7600,6.33822
7610,2.94817
7620,3.21348
7630,3.47808
7640,4.47003
7650,4.72929
