Time,X,Y,Z
3170,8.84068,-6.57945,4.74903
3180,8.88558,-6.53557,4.72575
3190,8.93023,-6.49157,4.70219
3200,8.9746,-6.44745,4.67835
3210,9.0187,-6.40322,4.65423
3220,9.06253,-6.35886,4.62984
3230,9.10609,-6.31439,4.60517
3240,9.14937,-6.26981,4.58023
3250,9.19238,-6.22511,4.55501
3260,9.23511,-6.1803,4.52951
3270,9.27757,-6.13539,4.50375
3280,9.31974,-6.09036,4.47771
3290,9.36163,-6.04523,4.45141
3300,9.40324,-6,4.42483
3310,9.57314,-5.95811,4.10561
3320,9.73207,-5.91537,3.78089
3330,9.87985,-5.87185,3.45106
3340,10.0163,-5.82759,3.11649
3350,10.1413,-5.78263,2.77755
3360,10.2547,-5.73704,2.43464
3370,10.3563,-5.69086,2.08814
3380,10.4461,-5.64415,1.73846
3390,10.5239,-5.59695,1.38598
3400,10.5897,-5.54932,1.03111
3410,10.6433,-5.50133,0.674262
3420,10.6848,-5.45301,0.315833
3430,10.714,-5.40444,-0.0437627
3440,10.731,-5.35565,-0.404119
3450,10.7356,-5.30672,-0.764821
3460,10.728,-5.25768,-1.12546
3470,10.7081,-5.20861,-1.48562
3480,10.6759,-5.15955,-1.8449
3490,10.6315,-5.11056,-2.20289
3500,10.575,-5.0617,-2.55917
3510,10.5063,-5.01302,-2.91334
3520,10.4256,-4.96458,-3.265
3530,10.3329,-4.91644,-3.61374
3540,10.2285,-4.86864,-3.95917
3550,10.1123,-4.82125,-4.3009
3560,9.98449,-4.77431,-4.63853
3570,9.84528,-4.72789,-4.97168
3580,9.69479,-4.68203,-5.29997
3590,9.5332,-4.63678,-5.62302
3600,9.36069,-4.5922,-5.94047
3610,9.33572,-4.5922,-5.97963
3620,9.31059,-4.5922,-6.01868
3630,9.2853,-4.5922,-6.05763
3640,9.25985,-4.5922,-6.09647
3650,9.23423,-4.5922,-6.13521
3660,9.20845,-4.5922,-6.17383
3670,9.18251,-4.5922,-6.21235
3680,9.1564,-4.5922,-6.25076
3690,9.13014,-4.5922,-6.28906
3700,9.10372,-4.5922,-6.32725
3710,9.07713,-4.5922,-6.36532
3720,9.05039,-4.5922,-6.40329
3730,9.02349,-4.5922,-6.44115
3740,8.99643,-4.5922,-6.47889
3750,8.96921,-4.5922,-6.51651
3760,8.94184,-4.5922,-6.55403
3770,8.91431,-4.5922,-6.59142
3780,8.88662,-4.5922,-6.62871
3790,8.85877,-4.5922,-6.66587
3800,8.83077,-4.5922,-6.70292
3810,8.80262,-4.5922,-6.73985
3820,8.77431,-4.5922,-6.77667
3830,8.74585,-4.5922,-6.81336
3840,8.71723,-4.5922,-6.84993
3850,8.68846,-4.5922,-6.88639
3860,8.65954,-4.5922,-6.92272
3870,8.63047,-4.5922,-6.95893
3880,8.60124,-4.5922,-6.99502
3890,8.57187,-4.5922,-7.03099
3900,8.54234,-4.5922,-7.06684
3910,8.71094,-4.76563,-6.73857
3920,8.86415,-4.94122,-6.40399
3930,9.00173,-5.1187,-6.06364
3940,9.12343,-5.29775,-5.71812
3950,9.22905,-5.47808,-5.368
3960,9.31841,-5.65937,-5.01387
3970,9.39135,-5.84132,-4.65633
3980,9.44777,-6.02363,-4.296
3990,9.48755,-6.20598,-3.93347
4000,9.51064,-6.38806,-3.56937
4010,9.51699,-6.56958,-3.20431
4020,9.50659,-6.75021,-2.8389
4030,9.47946,-6.92966,-2.47377
4040,9.43565,-7.10762,-2.10953
4050,9.37523,-7.28379,-1.74681
4060,9.29831,-7.45788,-1.3862
4070,9.205,-7.62958,-1.02833
4080,9.09548,-7.79861,-0.6738
4090,8.96992,-7.96467,-0.323208
4100,8.82855,-8.1275,0.0228529
4110,8.67159,-8.28681,0.363794
4120,8.49931,-8.44234,0.699041
4130,8.31201,-8.59382,1.02803
4140,8.11,-8.74099,1.35019
4150,7.89362,-8.88361,1.66499
4160,7.66325,-9.02143,1.9719
4170,7.41926,-9.15423,2.27039
4180,7.16208,-9.28177,2.55995
4190,6.89214,-9.40384,2.84011
4200,6.60989,-9.52024,3.11038
4210,6.71537,-9.48923,2.97632
4220,6.81788,-9.45783,2.84006
4230,6.91739,-9.42606,2.70168
4240,7.01384,-9.39394,2.56123
4250,7.10719,-9.36149,2.41878
4260,7.19739,-9.32871,2.27439
4270,7.28441,-9.29561,2.12812
4280,7.36821,-9.26223,1.98006
4290,7.44874,-9.22856,1.83025
4300,7.52598,-9.19464,1.67878
4310,7.59988,-9.16046,1.52571
4320,7.67041,-9.12605,1.37111
4330,7.73755,-9.09143,1.21505
4340,7.80124,-9.0566,1.0576
4350,7.86148,-9.02159,0.898837
4360,7.91824,-8.98641,0.738831
4370,7.97148,-8.95108,0.577655
4380,8.02118,-8.91562,0.415383
4390,8.06732,-8.88003,0.25209
4400,8.10987,-8.84433,0.0878482
4410,8.14883,-8.80855,-0.0772648
4420,8.18417,-8.7727,-0.243176
4430,8.21587,-8.73679,-0.409807
4440,8.24392,-8.70085,-0.577083
4450,8.26831,-8.66488,-0.744927
4460,8.28902,-8.62891,-0.913264
4470,8.30606,-8.59294,-1.08201
4480,8.3194,-8.55701,-1.2511
4490,8.32904,-8.52111,-1.42045
4500,8.33498,-8.48528,-1.58998
4510,8.36405,-8.44822,-1.6341
4520,8.39277,-8.41099,-1.6783
4530,8.42115,-8.37359,-1.72258
4540,8.44918,-8.33603,-1.76693
4550,8.47687,-8.29829,-1.81136
4560,8.50422,-8.26039,-1.85587
4570,8.53121,-8.22233,-1.90044
4580,8.55786,-8.18411,-1.94509
4590,8.58416,-8.14573,-1.98981
4600,8.61011,-8.10718,-2.03459
4610,8.63571,-8.06848,-2.07944
4620,8.66096,-8.02963,-2.12436
4630,8.68585,-7.99061,-2.16933
4640,8.7104,-7.95145,-2.21437
4650,8.73458,-7.91213,-2.25947
4660,8.75842,-7.87267,-2.30462
4670,8.78189,-7.83305,-2.34983
4680,8.80501,-7.79329,-2.3951
4690,8.82777,-7.75338,-2.44042
4700,8.85017,-7.71332,-2.48579
4710,8.87222,-7.67312,-2.5312
4720,8.8939,-7.63278,-2.57667
4730,8.91522,-7.5923,-2.62218
4740,8.93618,-7.55168,-2.66774
4750,8.95677,-7.51093,-2.71334
4760,8.97701,-7.47004,-2.75898
4770,8.99687,-7.42901,-2.80466
4780,9.01638,-7.38785,-2.85037
4790,9.03551,-7.34656,-2.89613
4800,9.05429,-7.30514,-2.94192
4810,9.02932,-7.30514,-3.01767
4820,9.00373,-7.30514,-3.0932
4830,8.9775,-7.30514,-3.16852
4840,8.95064,-7.30514,-3.24362
4850,8.92315,-7.30514,-3.31849
4860,8.89504,-7.30514,-3.39313
4870,8.8663,-7.30514,-3.46753
4880,8.83694,-7.30514,-3.54168
4890,8.80696,-7.30514,-3.61559
4900,8.77636,-7.30514,-3.68924
4910,8.74514,-7.30514,-3.76264
4920,8.71332,-7.30514,-3.83576
4930,8.68088,-7.30514,-3.90863
4940,8.64783,-7.30514,-3.98121
4950,8.61417,-7.30514,-4.05352
4960,8.57991,-7.30514,-4.12554
4970,8.54505,-7.30514,-4.19728
4980,8.50958,-7.30514,-4.26872
4990,8.47353,-7.30514,-4.33986
5000,8.43687,-7.30514,-4.41069
5010,8.39963,-7.30514,-4.48121
5020,8.36179,-7.30514,-4.55142
5030,8.32337,-7.30514,-4.62131
5040,8.28436,-7.30514,-4.69088
5050,8.24477,-7.30514,-4.76012
5060,8.2046,-7.30514,-4.82902
5070,8.16386,-7.30514,-4.89759
5080,8.12254,-7.30514,-4.96581
5090,8.08066,-7.30514,-5.03368
5100,8.03821,-7.30514,-5.1012
5110,8.2375,-7.26674,-4.83096
5120,8.42746,-7.22754,-4.55419
5130,8.60788,-7.18757,-4.27122
5140,8.77854,-7.14689,-3.98236
